Invoice_No,Invoice_Date,Supplier_GSTIN,Supplier_Name,Supplier_State,Invoice_Type,PO_Number,Item_Name,HSN_SAC,UOM,Quantity,Unit_Price,Taxable_Value,GST_Rate_%,CGST,SGST,IGST,Total_Amount,Payment_Mode,Branch_City,Match_Status,Reason,ITC_Eligible
MS/2509/00035,2025-09-04,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2509/7209,Cough Syrup,3004,bottle,4,127,508.0,12,30.48,30.48,0.0,568.96,UPI,Mangaluru,Matched,,Yes
MS/2505/00036,2025-05-16,29IIIJJ8888I1Z3,Prime Pharma Hub,29,B2B,PO/2505/8973,Glucose Strips,3822,box,28,819,22932.0,12,1375.92,1375.92,0.0,25683.84,NEFT,Mysuru,Matched,,Yes
MS/2506/00037,2025-06-01,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2506/9883,Ibuprofen 400mg,3004,box,38,278,10564.0,12,633.84,633.84,0.0,11831.68,UPI,Tumakuru,Matched,,Yes
MS/2506/00038,2025-06-10,29AABCA1111A1Z5,Apex Pharma Distributors,29,B2B,PO/2506/9238,Ibuprofen 400mg,3004,box,38,212,8056.0,12,483.36,483.36,0.0,9022.72,Credit,Mysuru,Matched,,Yes
MS/2501/00039,2025-01-30,32KKKKK9999K1Z9,VitalCare Enterprises,32,B2B,PO/2501/2113,Amoxicillin 500mg,3004,box,12,155,1860.0,12,0.0,0.0,223.2,2083.2,NEFT,Mangaluru,Matched,,Yes
MS/2503/00040,2025-03-03,29LLLLM0000L1Z0,Nova Medical Agency,29,B2B,PO/2503/2343,Surgical Mask Pack,6307,pack,38,50,1900.0,5,47.5,47.5,0.0,1995.0,Card,Tumakuru,Matched,,Yes
MS/2510/00041,2025-10-26,29LLLLM0000L1Z0,Nova Medical Agency,29,B2B,PO/2510/4346,Pulse Oximeter,9018,piece,21,1434,30114.0,12,1806.84,1806.84,0.0,33727.68,Cash,Mysuru,Matched,,Yes
MS/2505/00042,2025-05-16,27HHHHH7777H1Z6,Sanjeevani Distributors,27,B2B,PO/2505/5915,ORS Sachet,3004,pack,43,102,4386.0,5,0.0,0.0,219.3,4605.3,Card,Hubli,Matched,,Yes
MS/2502/00043,2025-02-07,29AABCA1111A1Z5,Apex Pharma Distributors,29,B2B,PO/2502/2638,Gauze Bandage,3005,pack,40,107,4280.0,5,107.0,107.0,0.0,4494.0,UPI,Belagavi,Matched,,Yes
MS/2504/00044,2025-04-20,32KKKKK9999K1Z9,VitalCare Enterprises,32,B2B,PO/2504/2127,Hand Sanitizer 500ml,3808,bottle,5,179,895.0,18,0.0,0.0,161.1,1056.1,NEFT,Hubli,Matched,,Yes
MS/2505/00045,2025-05-26,33CCCCC3333C1Z2,HealthLine Supplies,33,B2B,PO/2505/5956,Gauze Bandage,3005,pack,35,125,4375.0,5,0.0,0.0,218.75,4593.75,Credit,Tumakuru,Matched,,Yes
MS/2509/00046,2025-09-28,29AABCA1111A1Z5,Apex Pharma Distributors,29,B2B,PO/2509/3200,Calcium Tablets,3004,box,20,101,2020.0,12,121.2,121.2,0.0,2262.4,Cash,Bangalore,Matched,,Yes
MS/2502/00047,2025-02-24,32KKKKK9999K1Z9,VitalCare Enterprises,32,B2B,PO/2502/4450,ORS Sachet,3004,pack,18,56,1008.0,5,0.0,0.0,50.4,1058.4,Cash,Mysuru,Matched,,Yes
MS/2512/00048,2025-12-18,07EEEFF5555E1Z8,LifeAid Traders,07,B2B,PO/2512/1832,Pulse Oximeter,9018,piece,32,1414,45248.0,12,0.0,0.0,5429.76,50677.76,UPI,Tumakuru,Matched,,Yes
MS/2508/00049,2025-08-05,07EEEFF5555E1Z8,LifeAid Traders,07,B2B,PO/2508/3143,Ibuprofen 400mg,3004,box,1,175,175.0,12,0.0,0.0,21.0,196.0,Cash,Mysuru,Matched,,Yes
MS/2508/00050,2025-08-15,32KKKKK9999K1Z9,VitalCare Enterprises,32,B2B,PO/2508/2832,Cotton Roll,3005,pack,36,31,1116.0,5,0.0,0.0,55.8,1171.8,UPI,Tumakuru,Matched,,Yes
MS/2503/00051,2025-03-18,32KKKKK9999K1Z9,VitalCare Enterprises,32,B2B,PO/2503/3426,Ibuprofen 400mg,3004,box,24,239,5736.0,12,0.0,0.0,688.32,6424.32,Card,Mysuru,Matched,,Yes
MS/2501/00052,2025-01-22,07EEEFF5555E1Z8,LifeAid Traders,07,B2B,PO/2501/4441,Antacid Suspension,3004,bottle,3,161,483.0,12,0.0,0.0,57.96,540.96,NEFT,Tumakuru,Matched,,Yes
MS/2502/00053,2025-02-20,24GGGGG6666G1Z4,Wellness Medicos,24,B2B,PO/2502/3532,Calcium Tablets,3004,box,27,233,6291.0,12,0.0,0.0,754.92,7045.92,NEFT,Mysuru,Mismatch,Invoice date mismatch,Yes
MS/2504/00054,2025-04-01,27HHHHH7777H1Z6,Sanjeevani Distributors,27,B2B,PO/2504/6442,Paracetamol 500mg,3004,box,12,268,3216.0,12,0.0,0.0,385.92,3601.92,Card,Tumakuru,Matched,,Yes
MS/2505/00055,2025-05-08,07EEEFF5555E1Z8,LifeAid Traders,07,B2B,PO/2505/7267,Blood Pressure Monitor,9018,piece,45,1421,63945.0,12,0.0,0.0,7673.4,71618.4,UPI,Mangaluru,Matched,,Yes
MS/2504/00056,2025-04-24,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2504/4728,Gauze Bandage,3005,pack,23,74,1702.0,5,42.55,42.55,0.0,1787.1,NEFT,Bangalore,Matched,,Yes
MS/2512/00057,2025-12-04,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2512/2137,Cough Syrup,3004,bottle,22,156,3432.0,12,205.92,205.92,0.0,3843.84,Cash,Hubli,Matched,,Yes
MS/2511/00058,2025-11-25,32KKKKK9999K1Z9,VitalCare Enterprises,32,B2B,PO/2511/6425,Cough Syrup,3004,bottle,44,222,9768.0,12,0.0,0.0,1172.16,10940.16,UPI,Bangalore,Matched,,Yes
MS/2505/00059,2025-05-13,33CCCCC3333C1Z2,HealthLine Supplies,33,B2B,PO/2505/2776,Multivitamin Capsules,2106,bottle,9,129,1161.0,18,0.0,0.0,208.98,1369.98,Credit,Mangaluru,Mismatch,Invoice date mismatch,Yes
MS/2506/00060,2025-06-26,24GGGGG6666G1Z4,Wellness Medicos,24,B2B,PO/2506/2894,Cotton Roll,3005,pack,39,95,3705.0,5,0.0,0.0,185.25,3890.25,Card,Belagavi,Matched,,Yes
MS/2504/00061,2025-04-08,07EEEFF5555E1Z8,LifeAid Traders,07,B2B,PO/2504/1027,Ibuprofen 400mg,3004,box,46,201,9246.0,12,0.0,0.0,1109.52,10355.52,Credit,Belagavi,Matched,,Yes
MS/2512/00062,2025-12-18,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2512/6409,Antacid Suspension,3004,bottle,28,87,2436.0,12,146.16,146.16,0.0,2728.32,Credit,Hubli,Matched,,Yes
MS/2512/00063,2025-12-06,27BBBCD2222B1Z7,MediCare Wholesale,27,B2B,PO/2512/7691,Glucose Strips,3822,box,33,566,18678.0,12,0.0,0.0,2241.36,20919.36,Cash,Mangaluru,Matched,,Yes
MS/2512/00064,2025-12-23,07EEEFF5555E1Z8,LifeAid Traders,07,B2B,PO/2512/7888,Calcium Tablets,3004,box,9,124,1116.0,12,0.0,0.0,133.92,1249.92,Card,Tumakuru,Matched,,Yes
MS/2503/00065,2025-03-31,29LLLLM0000L1Z0,Nova Medical Agency,29,B2B,PO/2503/9977,Multivitamin Capsules,2106,bottle,10,317,3170.0,18,285.3,285.3,0.0,3740.6,UPI,Hubli,Matched,,Yes
MS/2505/00066,2025-05-27,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2505/6279,Cotton Roll,3005,pack,38,107,4066.0,5,101.65,101.65,0.0,4269.3,Card,Mangaluru,Matched,,Yes
MS/2508/00067,2025-08-15,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2508/2389,Pulse Oximeter,9018,piece,31,1247,38657.0,12,2319.42,2319.42,0.0,43295.84,Cash,Belagavi,Matched,,Yes
MS/2512/00068,2025-12-06,29LLLLM0000L1Z0,Nova Medical Agency,29,B2B,PO/2512/4848,Insulin Pen Needle,9018,box,6,619,3714.0,12,222.84,222.84,0.0,4159.68,Cash,Mysuru,Matched,,Yes
MS/2504/00069,2025-04-12,33CCCCC3333C1Z2,HealthLine Supplies,33,B2B,PO/2504/8784,Paracetamol 500mg,3004,box,3,142,426.0,12,0.0,0.0,51.12,477.12,Credit,Bangalore,Matched,,Yes
MS/2508/00070,2025-08-22,27HHHHH7777H1Z6,Sanjeevani Distributors,27,B2B,PO/2508/9099,Multivitamin Capsules,2106,bottle,7,306,2142.0,18,0.0,0.0,385.56,2527.56,Card,Mysuru,Matched,,Yes
MS/2503/00071,2025-03-17,29AABCA1111A1Z5,Apex Pharma Distributors,29,B2B,PO/2503/3881,Vitamin C Tablets,2106,bottle,14,116,1624.0,18,146.16,146.16,0.0,1916.32,Credit,Mangaluru,Matched,,Yes
MS/2501/00072,2025-01-26,32KKKKK9999K1Z9,VitalCare Enterprises,32,B2B,PO/2501/3184,Surgical Mask Pack,6307,pack,8,156,1248.0,5,0.0,0.0,62.4,1310.4,Card,Tumakuru,Matched,,Yes
MS/2509/00073,2025-09-29,32KKKKK9999K1Z9,VitalCare Enterprises,32,B2B,PO/2509/9270,Disposable Gloves,4015,box,21,346,7266.0,12,0.0,0.0,871.92,8137.92,Card,Belagavi,Matched,,Yes
MS/2508/00074,2025-08-17,33CCCCC3333C1Z2,HealthLine Supplies,33,B2B,PO/2508/5050,Face Shield,3926,piece,15,156,2340.0,18,0.0,0.0,421.2,2761.2,Cash,Belagavi,Matched,,Yes
MS/2509/00075,2025-09-06,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2509/5681,Hand Sanitizer 500ml,3808,bottle,15,109,1635.0,18,147.15,147.15,0.0,1929.3,NEFT,Hubli,Matched,,Yes
MS/2506/00076,2025-06-21,24GGGGG6666G1Z4,Wellness Medicos,24,B2B,PO/2506/3471,Calcium Tablets,3004,box,6,110,660.0,12,0.0,0.0,79.2,739.2,NEFT,Mangaluru,Matched,,Yes
MS/2512/00077,2025-12-22,33CCCCC3333C1Z2,HealthLine Supplies,33,B2B,PO/2512/7678,Thermometer,9025,piece,5,392,1960.0,12,0.0,0.0,235.2,2195.2,Cash,Belagavi,Matched,,Yes
MS/2508/00078,2025-08-27,27HHHHH7777H1Z6,Sanjeevani Distributors,27,B2B,PO/2508/7883,Ibuprofen 400mg,3004,box,14,303,4242.0,12,0.0,0.0,509.04,4751.04,Card,Belagavi,Matched,,Yes
MS/2512/00079,2025-12-23,29AABCA1111A1Z5,Apex Pharma Distributors,29,B2B,PO/2512/1096,Multivitamin Capsules,2106,bottle,13,354,4602.0,18,414.18,414.18,0.0,5430.36,Cash,Hubli,Matched,,Yes
MS/2507/00080,2025-07-19,27HHHHH7777H1Z6,Sanjeevani Distributors,27,B2B,PO/2507/4613,Calcium Tablets,3004,box,48,214,10272.0,12,0.0,0.0,1232.64,11504.64,Card,Mysuru,Matched,,Yes
MS/2505/00081,2025-05-20,27HHHHH7777H1Z6,Sanjeevani Distributors,27,B2B,PO/2505/6507,Face Shield,3926,piece,1,189,189.0,18,0.0,0.0,34.02,223.02,Card,Tumakuru,Matched,,Yes
MS/2503/00082,2025-03-26,29IIIJJ8888I1Z3,Prime Pharma Hub,29,B2B,PO/2503/1441,ORS Sachet,3004,pack,40,88,3520.0,5,88.0,88.0,0.0,3696.0,Card,Belagavi,Matched,,Yes
MS/2510/00083,2025-10-16,29AABCA1111A1Z5,Apex Pharma Distributors,29,B2B,PO/2510/3223,Amoxicillin 500mg,3004,box,42,339,14238.0,12,854.28,854.28,0.0,15946.56,Card,Mysuru,Matched,,Yes
MS/2501/00084,2025-01-26,07EEEFF5555E1Z8,LifeAid Traders,07,B2B,PO/2501/8449,Cough Syrup,3004,bottle,21,139,2919.0,12,0.0,0.0,350.28,3269.28,Cash,Hubli,Matched,,Yes
MS/2507/00085,2025-07-14,07EEEFF5555E1Z8,LifeAid Traders,07,B2B,PO/2507/2341,Cotton Roll,3005,pack,17,136,2312.0,5,0.0,0.0,115.6,2427.6,Card,Bangalore,Matched,,Yes
MS/2510/00086,2025-10-04,29AABCA1111A1Z5,Apex Pharma Distributors,29,B2B,PO/2510/2124,Antacid Suspension,3004,bottle,15,236,3540.0,12,212.4,212.4,0.0,3964.8,UPI,Bangalore,Matched,,Yes
MS/2505/00087,2025-05-07,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2505/4908,Paracetamol 500mg,3004,box,40,119,4760.0,12,285.6,285.6,0.0,5331.2,NEFT,Mangaluru,Matched,,Yes
MS/2512/00088,2025-12-09,27BBBCD2222B1Z7,MediCare Wholesale,27,B2B,PO/2512/5198,Multivitamin Capsules,2106,bottle,7,348,2436.0,18,0.0,0.0,438.48,2874.48,Cash,Mysuru,Matched,,Yes
MS/2511/00089,2025-11-07,29LLLLM0000L1Z0,Nova Medical Agency,29,B2B,PO/2511/2771,Vitamin C Tablets,2106,bottle,6,139,834.0,18,75.06,75.06,0.0,984.12,Credit,Bangalore,Matched,,Yes
MS/2506/00090,2025-06-09,29LLLLM0000L1Z0,Nova Medical Agency,29,B2B,PO/2506/4249,Cough Syrup,3004,bottle,26,268,6968.0,12,418.08,418.08,0.0,7804.16,UPI,Belagavi,Matched,,Yes
MS/2512/000919,2025-12-20,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2512/2983,Vitamin C Tablets,2106,bottle,10,235,2350.0,18,211.5,211.5,0.0,2773.0,Credit,Bangalore,Mismatch,Invoice number mismatch,Yes
MS/2506/00092,2025-06-27,32KKKKK9999K1Z9,VitalCare Enterprises,32,B2B,PO/2506/2129,Cotton Roll,3005,pack,43,77,3311.0,5,0.0,0.0,165.55,3476.55,Credit,Tumakuru,Matched,,Yes
MS/2506/00093,2025-06-24,29AABCA1111A1Z5,Apex Pharma Distributors,29,B2B,PO/2506/8102,Cotton Roll,3005,pack,32,43,1376.0,5,34.4,34.4,0.0,1444.8,Cash,Tumakuru,Matched,,Yes
MS/2508/00094,2025-08-24,33CCCCC3333C1Z2,HealthLine Supplies,33,B2B,PO/2508/9548,Cotton Roll,3005,pack,12,123,1476.0,5,0.0,0.0,73.8,1549.8,Cash,Belagavi,Matched,,Yes
MS/2510/00095,2025-10-03,29IIIJJ8888I1Z3,Prime Pharma Hub,29,B2B,PO/2510/5397,Gauze Bandage,3005,pack,28,140,3920.0,5,98.0,98.0,0.0,4116.0,Cash,Mysuru,Matched,,Yes
MS/2502/00096,2025-02-14,07EEEFF5555E1Z8,LifeAid Traders,07,B2B,PO/2502/8613,Gauze Bandage,3005,pack,16,131,2096.0,5,0.0,0.0,104.8,2200.8,Credit,Belagavi,Matched,,Yes
MS/2512/00097,2025-12-09,27HHHHH7777H1Z6,Sanjeevani Distributors,27,B2B,PO/2512/6325,Insulin Pen Needle,9018,box,2,453,906.0,12,0.0,0.0,108.72,1014.72,NEFT,Mangaluru,Matched,,Yes
MS/2504/00098,2025-04-19,24GGGGG6666G1Z4,Wellness Medicos,24,B2B,PO/2504/5526,Hand Sanitizer 500ml,3808,bottle,11,161,1771.0,18,0.0,0.0,318.78,2089.78,Credit,Bangalore,Matched,,Yes
MS/2509/00099,2025-09-22,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2509/9004,Amoxicillin 500mg,3004,box,16,328,5248.0,12,314.88,314.88,0.0,5877.76,Credit,Mysuru,Matched,,Yes
MS/2512/00100,2025-12-20,29IIIJJ8888I1Z3,Prime Pharma Hub,29,B2B,PO/2512/1282,Face Shield,3926,piece,15,292,4380.0,18,394.2,394.2,0.0,5168.4,UPI,Hubli,Matched,,Yes
MS/2504/00101,2025-04-24,27HHHHH7777H1Z6,Sanjeevani Distributors,27,B2B,PO/2504/8753,Surgical Mask Pack,6307,pack,20,134,2680.0,5,0.0,0.0,134.0,2814.0,Credit,Belagavi,Matched,,Yes
MS/2506/00102,2025-06-26,27HHHHH7777H1Z6,Sanjeevani Distributors,27,B2B,PO/2506/8434,Calcium Tablets,3004,box,22,165,3630.0,12,0.0,0.0,435.6,4065.6,Cash,Hubli,Matched,,Yes
MS/2505/00103A,2025-05-09,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2505/2958,Vitamin C Tablets,2106,bottle,7,140,980.0,18,88.2,88.2,0.0,1156.4,Credit,Tumakuru,Mismatch,Invoice number mismatch,Yes
MS/2504/00104,2025-04-05,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2504/5530,Thermometer,9025,piece,48,427,20496.0,12,1229.76,1229.76,0.0,22955.52,Credit,Belagavi,Matched,,Yes
MS/2511/00105,2025-11-02,07EEEFF5555E1Z8,LifeAid Traders,07,B2B,PO/2511/4727,Vitamin C Tablets,2106,bottle,7,135,945.0,18,0.0,0.0,170.1,1115.1,Cash,Mysuru,Matched,,Yes
MS/2506/00106,2025-06-04,29AABCA1111A1Z5,Apex Pharma Distributors,29,B2B,PO/2506/1745,Calcium Tablets,3004,box,9,145,1305.0,12,78.3,78.3,0.0,1461.6,UPI,Belagavi,Matched,,Yes
MS/2505/00107,2025-05-30,33CCCCC3333C1Z2,HealthLine Supplies,33,B2B,PO/2505/5658,Face Shield,3926,piece,4,93,372.0,18,0.0,0.0,66.96,438.96,Card,Mangaluru,Matched,,Yes
MS/2508/00108,2025-08-14,24GGGGG6666G1Z4,Wellness Medicos,24,B2B,PO/2508/8827,Blood Pressure Monitor,9018,piece,4,1717,6868.0,12,0.0,0.0,824.16,7692.16,UPI,Bangalore,Matched,,Yes
MS/2507/00109,2025-07-25,29IIIJJ8888I1Z3,Prime Pharma Hub,29,B2B,PO/2507/3485,Amoxicillin 500mg,3004,box,37,147,5439.0,12,326.34,326.34,0.0,6091.68,NEFT,Belagavi,Matched,,Yes
MS/2506/00110,2025-06-05,27BBBCD2222B1Z7,MediCare Wholesale,27,B2B,PO/2506/4697,Surgical Mask Pack,6307,pack,8,146,1168.0,5,0.0,0.0,58.4,1226.4,Credit,Mangaluru,Matched,,Yes
MS/2508/00111,2025-08-19,29IIIJJ8888I1Z3,Prime Pharma Hub,29,B2B,PO/2508/6003,Glucose Strips,3822,box,38,689,26182.0,12,1570.92,1570.92,0.0,29323.84,Credit,Belagavi,Matched,,Yes
MS/2501/00112,2025-01-31,29LLLLM0000L1Z0,Nova Medical Agency,29,B2B,PO/2501/4457,Vitamin C Tablets,2106,bottle,7,220,1540.0,18,138.6,138.6,0.0,1817.2,Cash,Tumakuru,Matched,,Yes
MS/2502/001139,2025-02-11,33CCCCC3333C1Z2,HealthLine Supplies,33,B2B,PO/2502/3564,Surgical Mask Pack,6307,pack,12,59,708.0,5,0.0,0.0,35.4,743.4,UPI,Mangaluru,Mismatch,Invoice number mismatch,Yes
MS/2508/00114,2025-08-19,29LLLLM0000L1Z0,Nova Medical Agency,29,B2B,PO/2508/4792,Face Shield,3926,piece,10,98,980.0,18,88.2,88.2,0.0,1156.4,Cash,Tumakuru,Matched,,Yes
